SAMPLE	ReplicateID	READdata
SP52_K562_WT_100ng	1	stripeseq/GSF2268-SP52_S34
SP53_K562_WT_100ng	1	stripeseq/GSF2268-SP53_S35
SP54_K562_WT_100ng	1	stripeseq/GSF2268-SP54_S36
