SAMPLE	ReplicateID	FILE
AtPEAT	1	SETBASEDIR/AtPEAT/tsr/BAMDIR/AtPEAT.genome.bam
AtCAGE	1	SETBASEDIR/AtCAGE/tsr/BAMDIR/AtCAGE.genome.bam
