SAMPLE	ReplicateID	READdata
SP52_K562_WT_100ng	1	stripeseq/SRR10759428
SP53_K562_WT_100ng	1	stripeseq/SRR10759429
SP54_K562_WT_100ng	1	stripeseq/SRR10759430
